Name,Code
Sule Tankarkar, JI01
Taura, JI01
Yankwashi, JI01
Birnin Gwari, KD01
Chikun, KD01
Giwa, KD01
Kajuru, KD01
Igabi, KD01
Ikara, KD01
Jaba, KD01
Jema'a, KD01
Kachia, KD01
Kaduna North, KD01
Kaduna South, KD01
Kagarko, KD01
Kauru, KD01
Kubau, KD01
Kudan, KD01
Lere, KD01
Makarfi, KD01
Sabon Gari, KD01
Sanga, KD01
Soba, KD01
Zangon Kataf, KD01
Zaria, KD01
Ajingi, KN01
Albasu, KN01
Bagwai, KN01
Bebeji, KN01
Bichi, KN01
Bunkure, KN01
Dala, KN01
Dambatta, KN01
Dawakin Kudu, KN01
Dawakin Tofa, KN01
Doguwa, KN01
Fagge, KN01
Gabasawa, KN01
Garko, KN01
Garun Mallam, KN01
Gaya, KN01
Gezawa, KN01
Gwale, KN01
Gwarzo, KN01
Kabo, KN01
Kano Municipal, KN01
Karaye, KN01
Kibiya, KN01
Kiru, KN01
Kumbotso, KN01
Kunchi, KN01
Kura, KN01
Madobi, KN01
Makoda, KN01
Minjibir, KN01
Nasarawa, KN01
Rano, KN01
Rimin Gado, KN01
Rogo, KN01
Shanono, KN01
Sumaila, KN01
Takai, KN01
Tarauni, KN01
Tofa, KN01
Tsanyawa, KN01
Tudun Wada, KN01
Ungogo, KN01
Warawa, KN01
Wudil, KN01
Bakori, KT01
Batagarawa, KT01
Batsari, KT01
Baure, KT01
Bindawa, KT01
Charanchi, KT01
Dan-Musa, KT01
Dandume, KT01
Danja, KT01
Daura, KT01
Dutsi, KT01
Dutsin-Ma, KT01
Faskari, KT01
Funtua, KT01
Ingawa, KT01
Jibia, KT01
Kafur, KT01
Kaita, KT01
Kankara, KT01
Kankia, KT01
Katsina, KT01
Kurfi, KT01
Mai'Adua, KT01
Malumfashi, KT01
Mani, KT01
Mashi, KT01
Matazu, KT01
Musawa, KT01
Rimi, KT01
Sabuwa, KT01
Safana, KT01
Sandamu, KT01
Zango, KT01
Aliero, KE01
Arewa Dandi, KE01
Argungu, KE01
Augie, KE01
Bagudo, KE01
Birnin Kebbi, KE01
Bunza, KE01
Dandi, KE01
Danko, KE01
Fakai, KE01
Gwandu, KE01
Jega, KE01
Kalgo, KE01
Koko/Besse, KE01
Maiyama, KE01
Ngaski, KE01
Sakaba, KE01
Shanga, KE01
Suru, KE01
Wasagu/Danko, KE01
Yauri, KE01
Zuru, KE01
Adavi, KO01
Ajaokuta, KO01
Ankpa, KO01
Bassa, KO01
Dekina, KO01
Yagba East, KO01
Ibaji, KO01
Idah, KO01
Igalamela-Odolu, KO01
Ijumu, KO01
Kabba/Bunu, KO01
Kogi, KO01
Mopa-Muro, KO01
Ofu, KO01
Ogori/Magongo, KO01
Okehi, KO01
Okene, KO01
Olamaboro, KO01
Omala, KO01
Yagba West, KO01
Asa, KW01
Baruten, KW01
Edu, KW01
Ekiti, KW01
Ifelodun, KW01
Ilorin South, KW01
Ilorin West, KW01
Ilorin East, KW01
